Tipo de Arquivo,Nome,Título,Local,Data,Tipo,Fotógrafo,Descrição,Créditos,Fonte,Tipo de Licença,Formato,Resolução Horizontal,Resolução Vertical,Dimensões da Foto,Dimensões do Objeto
Imagem,Dani319,"Seleção Brasileira sobe ao pódio para receber a medalha de prata nos Jogos Olímpicos de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3544 x 2333,0
Imagem,Ita015,"Ana Paula e Ita Maia, jogadoras do Elite Itaquerense, posam para fotografia.","São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3669 x 3561,0
Imagem,Ita025,"Equipe feminina do Elite Itaquerense, campeã do Torneio Sesc Itaquera de Futsal posa para fotografia. Novembro de 1998.","São Paulo, SP",1998,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3583 x 2976,0
Imagem,Ita026,"Time feminino do Elite Itaquerense, campeão do torneio Sesc Itaquera de Futsal, posa para foto.","São Paulo, SP",1995,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3188 x 2374,0
Imagem,Ita029,"Jogadora do Elite Itaquerense ergue taça do Torneio Garra Feminino de Futsal, disputado no Sesc Itaquera em 1999. Na data, o equipe conquistou o tricampeonato.","São Paulo, SP",1999,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3583 x 3389,0
Imagem,Ita031,"Soraia, capitã do Elite Itaquerense ergue a taça do Torneio Garra Feminino de Futsal, disputado no Sesc Itaquera em 1999. Na data, o time conquistou o tricampeonato.","São Paulo, SP",1999,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3601 x 2391,0
Imagem,Ita049,Jogadoras recebem flores durante comemoração na final da Copa Elite de de Futsal. Dezembro de 1999.,"São Paulo, SP",1999,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3601 x 3251,0
Imagem,Ita069,Jogadoras do Elite Itaquerense posam para foto com a bandeira do clube. Novembro de 1996.,"São Paulo, SP",1996,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3549 x 2357,0
Imagem,Ita072,Jogadoras do Elite Itaquerense são fotografadas durante caminhada.,"São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3549 x 2322,0
Imagem,Ita076,Time feminino do Elite Itaquerense posa para fotografia.,"São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3566 x 2305,0
Imagem,Ita078,Jogadoras do Elite Itaquerense posa para fotografia.,"São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3566 x 2339,0
Imagem,Ita081,Equipe do Elite Itaquerense posa para foto durante evento.,"São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3566 x 2271,0
Imagem,Ita084,Jogadoras do Elite Itaquerense posam para foto durante desfile de abertura da 1ª Copa Kaiser. Setembro de 1996.,"São Paulo, SP",1996,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2377 x 3613,0
Imagem,Ita099,"Time feminino do Elite Itaquerense, campeão do Torneio Ayrton Senna, posa para fotografia. Maio de 1999.","São Paulo, SP",1999,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3566 x 2907,0
Imagem,Ita104,Jogadoras do Elite Itaquerense posam para foto.,"São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Ita Maia Reis.,Acervo Museu do Futebol | Coleção Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3566 x 2374,0
